filter,name,img,link,distance,detail
Gangneung-si,Edison Museum of Science,http://tong.visitkorea.or.kr/cms2/website/10/2473510.jpg,http://edisonmuseum.kr/,5 minutes by car from Gaitaek Pension,"Of Edison's 3,500 inventions, the world's largest Edison Museum displays 2,000 of Edison's inventions, including phonographs, light bulbs, and Edison's inventions and relics."
Gangneung-si,the eastbound town,http://tong.visitkorea.or.kr/cms2/website/93/2361193.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e42599c9-bac7-4f83-8a89-fe4b7464d90c&big_category=A01&mid_category=A0101&big_area=32,Six minutes' drive from Geumjin Beach,the nation's best sunrise spot
Gangneung-si,Light artillery,http://tong.visitkorea.or.kr/cms2/website/37/2791937.jpeg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=babcea7b-a8e6-4a30-9e33-f783ad33fe79&big_category=A02&mid_category=A0201&big_area=32,7 minutes by car from Gaitaek Pension,"a pavilion on the northern hill of Gyeongpo Lake, one of the eight scenic views of Gwandong"
Gangneung-si,Gyeongpo Beach,http://tong.visitkorea.or.kr/cms2/website/72/2617272.jpg,https://www.gn.go.kr/tour/prog/lod/Sights/S01/sub02_02_01/view.do?cid=434,7 minutes by car from Gaitaek Pension,"There is a saying that if you want to feel the youth of Korea in the hot summer, go to Haeundae in Busan and Gyeongpodae in Gangneung."
Gangneung-si,Gyeongpo Lake,http://tong.visitkorea.or.kr/cms2/website/78/2617278.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=a88826b7-6c45-47b8-88c2-2b73f6c50dac&big_category=A01&mid_category=A0101&big_area=32,7 minutes by car from Gaitaek Pension,"Gyeongpo Lake, a beautiful lake on Gyeongpo Beach"
Gangneung-si,Gangneung Missionary Field,http://tong.visitkorea.or.kr/cms2/website/26/2662826.jpg,https://knsgj.net/,8 minutes by car from Gaitaek Pension,"In the past, it was built as a missionary site because it was said that a bridge was built by boat across Gyeongpo Lake."
Gangneung-si,Gangmun Beach,http://tong.visitkorea.or.kr/cms2/website/50/2536150.jpg,https://www.gn.go.kr/tour/prog/lod/Sights/S01/sub02_02_01/view.do?cid=961,9 minutes by car from Gaitaek Pension,a beautiful beach with a pole across the beach
Gangneung-si,Yeongjin Beach,http://tong.visitkorea.or.kr/cms2/website/85/2791985.jpeg,https://www.gn.go.kr/tour/prog/lod/Sights/S01/sub02_02_01/view.do?cid=971,10 minutes by car from Gaitaek Pension,"As it is quiet and clean, it is the best place to enjoy summer vacation for club members or families, and it is a small fishing village with the smell of the sea, and you can also enjoy boat fishing along with swimming."
Gangneung-si,Juk Heon Oh,http://tong.visitkorea.or.kr/cms2/website/72/2536372.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=679100b3-4c51-452c-8ca1-ee196477cce1&big_category=A02&mid_category=A0201&big_area=32,10 minutes by car from Gaitaek Pension,Birthplace of Shin Saimdang and Yulgok Yi
Gangneung-si,Chodang Soft Tofu Village,http://tong.visitkorea.or.kr/cms2/website/54/2028954.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=115b36e9-c686-42ff-8f51-714aaf746ba7&big_category=A02&mid_category=A0203&big_area=32,10 minutes by car from Gaitaek Pension,"If you go down a little south from Gyeongpo Beach, there is Chodang Tofu Village, which is famous for soft tofu. Chodang soft tofu, the most famous food in Gangneung, is made by grinding beans and solidifying them into seawater on the east coast through various processes, which is very soft and savory."
Gangneung-si,Henan Seolheon's birthplace,http://tong.visitkorea.or.kr/cms2/website/97/2473697.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d2fca523-ded6-4048-b04d-7aba9cdf5370&big_category=A02&mid_category=A0201&big_area=327aba9cdf5370&big_category=A02&mid_category=A0201&big_area=32,12 minutes by car from Gaitaek Pension,"The birthplace of Henan Seolheon in Gangneung, Gangwon-do, was designed to commemorate the artistic spirit and literary achievements of Henan Seolheon, the best female gate of the Joseon Dynasty."
Gangneung-si,Songjeong Beach in Gangneung,http://tong.visitkorea.or.kr/cms2/website/57/1691557.jpg,https://www.gn.go.kr/tour/prog/lod/Sights/S01/sub02_02_01/view.do?cid=437,15 minutes by car from Gaitaek Pension,A place where you can enjoy dense pine forests and wide sandy beaches
Gangneung-si,Ordered port,http://tong.visitkorea.or.kr/cms2/website/80/2531280.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d2b10d5d-f2eb-4658-ab4e-2fe431a82836&big_category=A01&mid_category=A0101&big_area=32,16 minutes by car from Gaitaek Pension,The fresh sashimi from the boat is very fresh and enough to appeal to tourists. You can enjoy many sashimi at a low price.
Gangneung-si,Anmok Beach,http://tong.visitkorea.or.kr/cms2/website/80/1798980.jpg,https://www.gn.go.kr/tour/prog/lod/Sights/S0101/sub02_02_02/view.do?cid=967,17 minutes by car from Gaitaek Pension,"Gangneung Anmok Beach is one of the most beautiful coffee streets in the country.In autumn, a coffee festival is held and the coastline is connected all the way, so if you drive along the long coastline, you can see various tourist attractions together."
Gangneung-si,Jeong-dong Simgok Sea Fan-gil,http://tong.visitkorea.or.kr/cms2/website/80/2628080.jpg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8c3b4b32-b365-4d4a-84b5-9f2fc1911170&big_category=A03&mid_category=A0301&big_area=32,17 minutes by car from Gaitaek Pension,"A 2.86km trail between Jeongdongjin Suncrew Parking Lot and Simgok Port will be created, allowing you to enjoy the beauty of the blue waves of the East Sea and the scenic beauty from the magnificent strange rocks."
Gangneung-si,Gangneung Central Market,http://tong.visitkorea.or.kr/cms2/website/44/2792044.jpeg,https://www.gn.go.kr/www/contents.do?key=568,21 minutes by car from Gaitaek Pension,"Gangneung Jungang Market is a permanent market located in the center of Gangneung-si and is the center of logistics in Yeongdong, Gangwon-do."
Gangneung-si,Hyangho Beach,http://tong.visitkorea.or.kr/cms2/website/46/2792146.jpeg,https://www.gn.go.kr/tour/sub02_01_01.do,22 minutes by car from Gaitaek Pension,BTS (BTS) famous for their album jacket photos. BTS bus stop.
Gangneung-si,Terra Rosa Coffee Factory,http://tong.visitkorea.or.kr/cms2/website/94/2792094.jpeg,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=9c449ce4-d145-483d-9545-6427b7707b53&big_category=A05&mid_category=A0502&big_area=32,22 minutes by car from Geumjin Beach,Coffee tasting course is a famous cafe and museum
Gangneung-si,Solhyang Arboretum in Gangneung,http://tong.visitkorea.or.kr/cms2/website/96/2435096.jpg,https://www.gn.go.kr/solhyang/index.do,33 minutes by car from Gaitaek Pension,"The Geumgang pine tree, which is Korea's representative tree, is famous for growing naturally in the east of Baekdudaegan Mountain Range and overlooking the indigo-colored East Sea."
an old castle,Baekdo Beach,http://tong.visitkorea.or.kr/cms2/website/19/2456119.jpg,http://baekdobeach.co.kr/,4 minutes by car from Sampo Beach,"There is an island called Baekdo off the coast of the port, so it is called Baekdo."
an old castle,Gonghyeonjin Beach,http://tong.visitkorea.or.kr/cms2/website/93/2617293.jpg,http://gonghyeonjin.co.kr/,6 minutes by car from Sampo Beach,"It is a famous beach in Goseong-gun, and has a longer white sandy beach than other places and a dense pine forest, making it a unique beach."
